info;
"{""id"":""SSNG0077.json"",""log"":[""Merkezde Çin yemekleri servis eden bir restoran bulabilir misin?"",""Charlie Chan büyük ve ucuz bir restorandır. Şimdi rezervasyon yaptırmamı ister misiniz?"",""Evet lütfen. Çarşamba günü 13: 45'te 3 kişi için."",""Özür dilerim. Rezervasyon başarısız oldu. Size başka bir restoran bulmamı ister misiniz?"",""Aynı bölge ve fiyat aralığında farklı restoranlar var mı?"",""Rice House'a ne dersin? Ucuz fiyatlarla şehir merkezinde bir Çin restoranı."",""Kulağa hoş geliyor. Lütfen rezerve et. Bir de referans numarasına ihtiyacım var."",""Elbette! CSL3V245 referans numarası ile randevun var. Başka bir konuda yardımcı olabilir miyim?"",""Hayır, yardımlarınız için çok teşekkür ederim."",""Benim için bir zevkti. Eğer başka bir şeye ihtiyacınız olursa bana haber verin.""]}";
"{""id"":""WOZ20268.json"",""log"":[""Şehrin kuzey kesiminde orta fiyatlı bir restoran arıyorum"",""Çin ve Hint olarak orta fiyatlı olan iki restoran var. Herhangi bir tercihiniz var mı?"",""Umurumda değil."",""Tamam, Golden Wok'a ne dersin? Onlar şehrin kuzey kesiminde Çin yemeği sunuyorlar ve orta fiyatlıdırlar."",""Bu güzelmiş. Bana adresini verebilir misiniz?"",""golden wok 191 histon road chesterton bulunur ve telefon numarası 01223350688. Size yardımcı olabileceğim başka bir şey var mı?"",""ve ayrıca lütfen posta kodu?"",""Posta kodları C.B2, 1 U.J."",""Hayır. tüm istediğim bu. teşekkürler"",""Rica ederim. Bizi aradığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SNG0515.json"",""log"":[""Merkezde ucuz bir restoran arıyorum."",""Birçok olasılık buldum. Golden house Çin ve the river bar steakhouse and grill modern Avrupa yemeği sunmaktadır. Bunlardan herhangi biri ilginizi çekiyor mu?"",""Evet, Golden House'un adresini, posta kodunu ve telefon numarasını alabilir miyim? Ben kendim ayırtacağım."",""Restoran 12 Lensfield Road City Center de yer almaktadır, posta kodu cb21eg ve telefon numarası 01842753771."",""Teşekkürler, hepsi bu kadar. İyi günler."",""Servisimizi kullandığınız için teşekkür ederiz. İyi günler.""]}";
"{""id"":""WOZ20645.json"",""log"":[""Pahalı bir restoran arıyorum ve Avrupa yemekleri sunması tercihim. Adresi, telefon numarasını ve bölgesini de alabilir miyim?"",""Eraina, merkez bölgede bir Avrupa restoranıdır. Adresi St. Michael Kilisesi Trinity Street Şehir Merkezi ve telefon numarası 01223 355166."",""teşekkür ederim. güle güle"",""Çok sağolun güle güle!""]}";
"{""id"":""WOZ20303.json"",""log"":[""Şehrin güney kesiminde herhangi bir orta fiyatlı restoran var mı?"",""Evet iki tane var. Pizza Hut Cherry Hinton İtalyan yemekleri, Restaurant Alimentum ise Modern Avrupa yemekleri sunmaktadır. Bunlar hakkında ek bilgi almak veya başka bir şey bulmaya yardımcı olmamı ister misiniz?"",""Bunlardan birinin adresi ve telefon numarası nedir?"",""Pizza Hut cherry hinton telefon numarası 01223 323737 ve G4 Cambridge Eğlence Parkı Clifton Yolu Cherry Hinton da bulunmaktadır."",""Mükemmel, teşekkür ederim. Hoşça kal!"",""İyi günler! Güle güle!\n""]}";
"{""id"":""WOZ20348.json"",""log"":[""Karayip yemekleri servis eden orta fiyatlı bir restoran arıyorum."",""Orta fiyatlı Karayip restoranı yoktur. Farklı bir şey ister misiniz?"",""İspanyol mutfağı"",""La Tasca, İspanyol yemekleri sunan orta fiyatlı bir restorandır."",""Adresi, telefon numarası ve posta kodu nedir?\n"",""Telefon numarası 01223 464630, adresi 14-16 Bridge Street ve posta kodu C.B 2, 1 U.F.""]}";
"{""id"":""SSNG0076.json"",""log"":[""Evet, belirli bir restoran ile ilgili biraz yardıma ve bilgiye ihtiyacım var. Restoranın adı Sitar Tandoori. Eğer yardımcı olabilirsen yer hakkında biraz bilgi istiyorum."",""Ah evet, Sitar Tandoori adında kentin doğu tarafında büyük Hint restoranı var. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Evet, Cuma günü saat 11:45'te 6 kişilik bir masa rezervasyonu yapabilir misiniz?"",""\nÜzgünüm, o zaman 6 kişi için rezervasyon yapamıyorum. Başka bir restoran bulmamı ister misiniz?"",""Bu şanssız bir durum. Evet, aynı bölgede başka bir şey yer mı?"",""Birkaç tane daha ortalama veya pahalı var, hangisini rezervasyon yaptırmayı tercih edersiniz?"",""Aynı fiyat aralığında bir tane daha bulabilirsen en iyisi o olur."",""Pipasha restoran rezervasyonu başarılı, referans numarası ZO0089US"",""Teşekkür ederim, hepsi bu kadar."",""Aradığınız için teşekkür ederim. İyi günler.""]}";
"{""id"":""SNG0560.json"",""log"":[""Güneyde yemek için pahalı bir yer bulmak istiyorum"",""Yemek türü tercihiniz var mı? Çin, Hint, İtalyan ve Meksika seçenekleri vardır."",""Fas mutfağı var mı?"",""Hayır, özür dilerim. Güneyde fas restoranı yok. Başka bir bölgeye genişlemek ister misiniz?"",""Hint yemeklerine de ilgi duyarım."",""taj tandoori güneyde pahalı bir Hint Restoranıdır. başka bir bilgi ya da rezervasyon ister misiniz?"",""Bu yer harika görünüyor. Telefon numarası alabilir miyim lütfen?"",""Tabi! Taj Tandoori telefon numarası 01223412299. Size başka nasıl yardımcı olabilirim?"",""Hayır, bu kadar. Çok teşekkür ederim. Güle güle."",""Rica ederim. Hizmetlerimizi kullandığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SSNG0099.json"",""log"":[""Merkezde yemek için pahalı bir yer arıyorum."",""Kriterleri karşılayan 33 restoranlar var. Yemek için belirli bir tür arıyor musunuz?"",""Kuzey Amerika yemekleri istiyorum."",""gurme burger kitchen, Kuzey Amerika yemekleri sunan pahalı bir restorandır. Bu uygun mu?"",""Tabii lütfen çarşamba günü 19: 15'te 7 kişi için rezervasyon yap"",""Ne yazık ki, rezervasyon yapılamadı. Başka bir restoran bulmamı ister misiniz?"",""Şehir merkezinde pahalı fiyat aralığında başka bir seçenek var mı?"",""İngiliz mutfağı sunan 3 ve Afrika mutfağı sunan 1 ve Asya sunan 1 tane buldum. Bir tercihiniz var mı?"",""O zaman Asya restoranı için rezervasyon yapabilir misiniz?"",""Tamam. Size kymmoy'da bir masa ayırtmayı başardım. Referans numaranız TQVKVLNH'dir. Başka bir şeye ihtiyacınız var mı?"",""Hayır, bu kadarı yeterli olacaktır, teşekkürler"",""Benim için bir zevkti. İyi günler! Güle güle!""]}";
"{""id"":""SNG02115.json"",""log"":[""Kuzeyde bir Afgan restoranı arıyorum."",""Kriterlere uyan hiçbir restoran bulamadım. Arama sonuçlarınızı değiştirmek istiyor musunuz?"",""Bunun yerine kuzeydeki bir Avrupa yemek restoranı var mı peki?"",""Bir tane mevcut. city stop restoranını buldum. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Bana telefon numarası, adres ve fiyat aralığı verebilir misin, lütfen?"",""Restoran pahalı fiyat aralığında. Numarası";" 01223363270. Restoranı Cambridge City Futbol Kulübü Milton Road Chesterton'da bulabilirsiniz"",""Harika, yardımın için teşekkür ederim."",""Daha fazlasını hakediyorsun!""]}"
"{""id"":""SNG01406.json"",""log"":[""Hint yemeği istiyorum, şehir merkezine yakın hizmet veren bir lokanta var mı?"",""74 Mill Road'da bulunan merkezde ucuz bir restoran olan kohinoor'a ne dersiniz?"",""Teşekkür ederim. Çarşamba 18: 15'te 6 kişilik masa rezervasyonu yapmak istiyorum. Ayrıca onaylamak için bir referans numarası sağlayabilir misin."",""Kohinoor için rezervasyon yapıldı. Referans numarası ZMZLMLR9'dur. Masa 15 dakika boyunca rezerve edilecektir."",""Referans numarası ZMZLMLR9 tamamdır, teşekkür ederim."",""Bugün size yardımcı olabileceğim başka bir konu var mı?"",""Hayır, hepsi bu kadar. Yardımınız için teşekkür ederim."",""Harika! İyi günler!""]}";
"{""id"":""SSNG0106.json"",""log"":[""Yemek, şehir merkezinde pahalı bir yer arıyorum."",""Harika! Bu tür 33 restoran bulunmaktadır. Ne tür yiyecek yemek istersiniz?"",""Yemek türü önemli değil ama 8 kişi için rezervasyon yaptırmak istiyorum."",""Rezervasyonunuzu hangi gün ve saatte yapmak istiyorsunuz?"",""8 kişi için Çarşamba günü 12:45 ve sonra rezervasyon numarasını alabilir miyim lütfen?"",""kymmoy restoran rezervasyon yaptım. Onay numarası UR49SKNA'dır"",""Rezervasyon için teşekkür ederim, güle güle."",""Başka bir şeye ihtiyacınız olursa lütfen haber verin. Güle Güle.""]}";
"{""id"":""SSNG0098.json"",""log"":[""Evet, restoran ararken yardıma ihtiyacım var. Restoran şehrin batısında yer almalı ve mümkünse pahalı fiyat aralığında olsun."",""Bu kriterlere uyan 9 restoran var. Mutfak tipi tercihiniz var mı?"",""Evet, Hintli lütfen"",""Pahalı fiyat aralığında batıda beş Hint restoranı var. Tandoori Palace önerebilirim."",""Pazar günü saat 19: 45'te 8 kişi için rezervasyon yapıp yapamadığını kontrol edebilir misiniz?"",""O zaman için rezervasyon yapamadım, başka bir şey denemek ister misiniz?"",""Evet, bak ve Pazartesi için bana rezervasyon yap, lütfen."",""Rezervasyon başarısız oldu. Tercih ettiğiniz başka bir zaman mı?"",""Lütfen Tandoori Sarayı ile aynı bölgede ve fiyat aralığında herhangi bir Hint restoranı için pazar günü saat 19: 45'te 8 kişilik rezervasyon yap."",""Cocum rezervasyonu yapıldı. Masanız 15 dakika rezerve edilecek. Referans numarası: 4FEC5K00. Başka bir isteğiniz var mı?"",""Bu kadar. Yardımınız için teşekkür ederim. Güle güle."",""Başka bir şeye ihtiyacınız olursa bize bildirin, iyi günler.""]}";
"{""id"":""WOZ20300.json"",""log"":[""Ucuz bir restoran arıyorum."",""Ne tür yiyecekler istiyorsunuz?"",""umurumda değil"",""22 sonuç var. Tercih ettiğiniz bir bölge var mı?"",""Evet, şehrin batı kesiminde lütfen."",""İki sonuç var. la margherita İtalyan yemekleri, thanh binh ise Vietnam yemekleri sunmaktadır."",""Bunlardan birinin adresi ve telefon numarasını öğrenebilir miyim?"",""Thanh Binh 15 Magdalene Street Şehir Merkezi'nde yer alır ve telefon numarası 01223 315232'dir."",""Başka bir yer var mı?"",""O bölgede sadece bir tane daha ucuz hint restoranı var. La Margherita hakkında bilgi ister misiniz?"",""Evet, lütfen."",""La Margherita telefon numarası 01223 315232 ve 15 Magdalene Street Şehir Merkezinde bulabilirsiniz."",""Teşekkür ederim. Güle güle.\n"",""Teşekkürler ve iyi günler!""]}";
"{""id"":""WOZ20643.json"",""log"":[""Merhaba, şehrin güney tarafında orta fiyatlı bir restoran arıyorum."",""Güney bölgesinde iki orta fiyatlı restoran bulunmaktadır. İtalyan veya Modern Avrupa ister misiniz?"",""Başka bir şey var mı? Telefon numarasını alabilir miyim lütfen?"",""Pizza kulübe kiraz hinton şehrin güney kesiminde bulunan ve ortalama fiyat aralığında. Telefon numaraları 01223 323737. Başka bir konuda yardımcı olabilir miyim?"",""Teşekkürler güle güle."",""Evet, hoşça kal.""]}";
"{""id"":""WOZ20199.json"",""log"":[""Şehrin doğu kesiminde orta fiyatlı bir restoran"",""Üç restoran tercihlerinizi karşılıyor. Bir İtalyan ve iki Hint yemekleri servis eden var. Bir tercihiniz var mı?"",""Başka bir şey var mı?"",""the curry prince şehrin doğusunda ve ortalama fiyat aralığında. Bilgilerini ister misiniz?"",""adres ve telefon numarası lütfen"",""Curry Prince'in adresi 451 Newmarket Road Fen Ditton ve telefon numarası 01223 566388."",""Tüm ihtiyacım olan bu... Teşekkürler ve güle güle."",""Güle güle""]}";
"{""id"":""WOZ20528.json"",""log"":[""Merhaba, sıradışı yemek servis eden şehrin güney yakasında bir restoran arıyorum."",""Üzgünüz ama isteğinize uygun restoran yok. farklı bir şey ister misiniz?"",""Evet, peki ya hint yemeği?"",""Taj tandoori öneririm. Şehrin güney kesiminde yer almaktadır."",""Ne telefon numarası var mı?"",""Taj Tandoori'nin telefon numarası 01223 412299. Sizin için yapabileceğim başka bir şey var mı?"",""Hayır hepsi bu. Teşekkür ederim, güle güle.\n"",""Cambridge restoran sistemini aradığınız için teşekkür ederiz.""]}";
"{""id"":""SNG02242.json"",""log"":[""Orta fiyatlı bir restoran arıyorum."",""Ortalama fiyat aralığında beş restoran bulunmaktadır. İngiliz ve Asya oryantal sunuyorlar? Bunlardan birini tercih eder misiniz?"",""Çok pahalı olmayan oryantal asya restoranı arıyorum."",""Kriterlerinizi karşılayan Yippee Noodle Bar var. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Çok iyi olur. 2 kişi için 13:00'de Salı gününe rezervasyon ihtiyacım var. Rezervasyon için referans numarası verebilir misiniz?"",""Referans numarası: MVMT06FY\n"",""Teşekkür ederim, hepsi bu. Güle güle."",""Rica ederim. İyi günler. Güle güle.'\n""]}";
"{""id"":""WOZ20198.json"",""log"":[""Şehrin Kuzey bölümünde bulunan ucuz bir restoran arıyorum."",""Royal Baharat şehrin kuzey kesiminde ucuz fiyat aralığında bir Hint Restoranı."",""Bu seçim ile ilgilenmiyorum. Bu kategorilerde başka bir yer var mı?"",""da vinci pizzacıya ne dersiniz? kuzeyde ucuz bir İtalyan yeri."",""Da vinci pizzeria'nın telefon numarası ve adresini alabilir miyim?\n"",""Telefon numarası 01223 351707 ve adresi 20 Milton Road Chesterton."",""Teşekkür ederim. Güle Güle."",""teşekkür ederim, güle güle.""]}";
"{""id"":""WOZ20157.json"",""log"":[""İyi bir orta fiyatlı restoran var mı?"",""İlgilendiğiniz bölge  ya da yemek türü var mı?"",""Katalan mutfağı tercih ederim."",""Üzgünüm, bu fiyat aralığında katalan yemeği sunan bir restoran yok. Başka bir şey denemek ister misiniz?"",""Peki ya İspanyol yemeği?"",""La tasca, İspanyol yemekleri sunmaktadır ve makul fiyat aralığındadır."",""Adresini, telefon numarasını ve posta kodunu alabilir miyim lütfen?"",""La tasca telefon numarası 01223 464630 ve 14 -16 Bridge Street'te yer almaktadır. Posta kodu C.B2, 1 U.F."",""teşekkürler, güle güle"",""Teşekkür ederim, güle güle."",""Güle güle"",""Bizi tekrar arayın! Güle güle.'""]}";
"{""id"":""WOZ20141.json"",""log"":[""Şehrin kuzey kesiminde Avusturya yemekleri servis eden bir restoran istiyorum."",""Üzgünüm ama şehrin Kuzey kısmında hiçbir Avusturya restoranı yok."",""Hint lütfen."",""Nirala, kuzey tarafında makul bir fiyat aralığında bir Hint restoranıdır."",""Teşekkür ederim, güle güle!"",""Teşekkür ederim, güle güle!'""]}";
"{""id"":""WOZ20480.json"",""log"":[""Uluslararası yemekler sunan ucuz bir restoran bulmak istiyorum. Adres ve posta kodu nedir?"",""Eksik Çorap isteğinize uyan Finders Corner Newmarket Yolu C.B 25, 9 A.Q ve telefon numarası 01223 812660'dır"",""Teşekkür ederim, güle güle."",""Rica ederim.""]}";
"{""id"":""SNG0747.json"",""log"":[""Merkezi bölgede pahalı bir restoran bulmama yardım eder misin?"",""İsteğinize uygun 33 olası yer var. Örneğin, merkezde pahalı bir Afrika restoranı var. Bu ilginizi çeker mi?"",""Peki ya Akdeniz mutfağı?"",""Elbette, La Mimosa veya Shiraz'ın her ikisi de mükemmel Akdeniz yemekleri sunmaktadır."",""La Mimosa iyi gibi. Cumartesi günü saat 11:15'te bana 1 kişilik bir masa ayırabilir misin?"",""Ayırdım, referans kodu MLZZDYT5."",""Mükemmel. Teşekkür ederim."",""Benim için bir zevkti. Hoşça kalın!""]}";
"{""id"":""WOZ20434.json"",""log"":[""Ucuz bir restoran arıyorum."",""Bir kaç tane buldum. İtalyan, Çin, Asya Oryantal, Hint veya İspanyol yemekleri ister misiniz?"",""Brezilya veya Portekiz mutfağı var mı?"",""Nandos ucuz fiyat aralığı ile şehrin güney yakasında bir Portekiz restoranıdır."",""Adresi nedir?"",""Adresi Cambridge Leisure Park Clifton Way'dir.""]}";
"{""id"":""SNG0451.json"",""log"":[""Ortalama fiyatlı merkezde bulunan bir restorana ihtiyacım var."",""Tabi, size yardım edebilirim. Mevcut 21 restoran var. Belirli bir tür istiyor musunuz?"",""Ben sadece Cumartesi 13:45 5 kişi için uygun herhangi bir restoran arıyorum."",""Kitap Yippee Noodle Bar'da rezervasyon başarılı ve referans numarası 7J4EXP7M."",""Harika! Çok teşekkür ederim!\n"",""Size yardım edebileceğim başka bir şey var mı?"",""Hayır, hepsi bu. Teşekkür ederim."",""Sistemimizi kullandığınız için teşekkür ederiz!""]}";
"{""id"":""SNG0656.json"",""log"":[""Güney Hint yemeği servis eden şehir merkezinde bir restoran arıyorum."",""Üzgünüm, kriterlerinize uyan bir yer yok. Peki ya Hint yemeklerine ne dersiniz?"",""Lanet. Bunun yerine o bölgede bir Türk restoranı mı arar mısın?"",""Meze bar, Anatolia veya Efes Restaurant'ı tercih edebilirsiniz."",""Anatolia'nın adresini alabilir miyim?"",""Anadolu 30 Street Şehir Merkezinde yer almaktadır."",""Yardımlarınız için çok teşekkür ederim!"",""Size yardım edebileceğim başka bir şey var mı?"",""Hayır, bu kadarına ihtiyacım vardı. Çok teşekkür ederim.\n"",""Aradığın için teşekkür ederim, hoşçakalın.""]}";
"{""id"":""SNG0621.json"",""log"":[""Merkezde pahalı bir restoran arıyorum"",""Aralarından seçim yapabileceğiniz 33 tane var. İstediğiniz bir  mutfak türü var mı?"",""Hangi mutfağı önemsemiyorum. Perşembe günü saat 12: 30'da bir masa istiyorum. Ayrıca bir referans numarasına ihtiyacım var."",""Elbette. Sizi Perşembe günü saat 12: 30'da Cambridge Chop House'a kaydettim. Referans numaranız 8NI5A15M'dir."",""Tamam, harika. Yardımınız için teşekkür ederim."",""Bugün size yardım edebileceğim başka bir şey var mı?"",""Hayır, son derece yardımcı oldunuz. Teşekkür ederim. Güle güle."",""Bugün bizimle rezervasyon yaptığınız için teşekkür ederiz. Rezervasyonunuzun tadını çıkarın!""]}";
"{""id"":""WOZ20387.json"",""log"":[""Şehrin kuzeyinde restoran lütfen"",""Ne tür yemek istersiniz?"",""Çin"",""İstediğiniz belli bir fiyat aralığı var mı?\n"",""Umurumda değil."",""Birkaç Çin restoranı var. Telefon numaralarını ister misiniz?"",""Evet, lütfen birinin ismine de  ihtiyacım var."",""Hakka şehrin kuzey kesiminde bir Çin restoranıdır."",""Mükemmel! Telefon numarası nedir?\n"",""Hakka telefon numarası 01223 568988. Bugün senin için yapabileceğim başka bir şey var mı?"",""teşekkürler, güle güle"",""Cambridge restoran sistemini kullandığınız için teşekkür ederiz. Güle güle.""]}";
